Classification_level,svg_id,plot_title,filter,col_t,col_y,col_se,y_label,group_by,csv_url,direct_path,skip_lines
Trophic group,phytoplankton,Phytoplankton,NA,yr,b_abun,NA,Biomass (mg C m-3),NA,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/efm_biomass_mb_by_year.csv,info-mb/prep/data/phytoplankton/efm_biomass_mb_by_year.csv,
Foundation species,phytoplankton,Pennate Diatom,NA,yr,p_abun,NA,Biomass (mg C m-3),NA,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/efm_diatoms_mb_by_year.csv,info-mb/master/prep/data/phytoplankton/efm_diatoms_mb_by_year.csv,
Foundation species,phytoplankton,Autotrophic Dinoflagellates,NA,yr,a_abun,NA,Biomass (mg C m-3),NA,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/efm_dinos_mb_by_year.csv,info-mb/master/prep/data/phytoplankton/efm_dinos_mb_by_year.csv,
Trophic group,pinnipeds,Female sea lion pup growth rate,,time,mean_growth_rate,NA,Mean growth rate,NA,"http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csv?time,mean_growth_rate",,
Trophic group,pinnipeds,Female sea lion pup weight index,,time,mean_weight,NA,Mean pup weight,NA,"http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csv?time,mean_weight",,
Trophic group,pinnipeds,"Sea lion pup count, San Miguel Isl.",,time,live_pup_count,NA,Average live pup count,NA,"http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csv?time,live_pup_count",,
,,Coastal pelagics-Simp north,,,,,,,,,
,,Coastal pelagics-Spp north,,,,,,,,,
,,Groundfish Simpson diversity - coastwide,,,,,,,,,
,,Groundfish Simpson diversity - north,,,,,,,,,
,,Groundfish Simpson diversity - south,,,,,,,,,
,,Groundfish species richness - coastwide,,,,,,,,,
,,Groundfish species richness - north,,,,,,,,,
,,Groundfish species richness - south,,,,,,,,,
,,Anchovy central,,,,,,,,,
,,Anchovy north,,,,,,,,,
,,Anchovy south,,,,,,,,,
,,Barracudina south,,,,,,,,,
,,"Forage availability - central, high energy taxa",,,,,,,,,
,,"Forage availability - central, medium energy taxa",,,,,,,,,
,,"Forage availability - north, high energy taxa",,,,,,,,,
,,"Forage availability - north, medium energy taxa",,,,,,,,,
,,Herring north,,,,,,,,,
,,Jack mackerel north,,,,,,,,,
,,Jack mackerel south,,,,,,,,,
,,Krill central,,,,,,,,,
,,Lightfish south,,,,,,,,,
,,Market squid central,,,,,,,,,
,,Market squid north,,,,,,,,,
,,Myctophid south,,,,,,,,,
,,Pacific hake central,,,,,,,,,
,,Pacific hake south,,,,,,,,,
