cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,biomass
21489,1,1989-08-02 14:37:00,H1,5,0,36.62,-121.89,5.97455753312423
21489,4,1989-08-02 16:53:00,C7,13,0,36.63,-122.13,3.42077155149137
21489,5,1989-08-02 18:40:00,H3,12,0,36.77,-122.01,4.12237465613118
21489,11,1989-08-02 22:24:00,C1,11,0,36.79,-121.84,5.53715498716934
PP7,24,1989-08-02 22:48:00,67-55,11,0,36.6,-122.48,3.96309815702429
PP7,27,1989-08-03 08:21:00,27,11,0,36.71,-122.25,2.65013291115332
PP7,25,1989-08-03 12:34:00,25,11,0,36.58,-122.25,3.58083587002279
22689,1,1989-08-14 14:58:00,H1,5,0,36.63,-121.89,2.92353032992711
22689,4,1989-08-14 17:05:00,C7,11,0,36.63,-122.14,4.67354776288681
22689,5,1989-08-14 18:47:00,H3,11,0,36.78,-122.01,4.05543266937892
22689,11,1989-08-14 22:38:00,C1,11,0,36.79,-121.84,4.80107683775716
24889,4,1989-09-05 17:04:00,C7,12,0,36.63,-122.14,3.10451371616313
24889,5,1989-09-05 18:30:00,H3,12,0,36.77,-122.01,3.68881017671431
24889,11,1989-09-05 22:04:00,C1,10,0,36.79,-121.84,2.32874492137964
24889,11,1989-09-05 22:04:00,C1,10,0,36.79,-121.84,2.32874492137964
26389,1,1989-09-20 14:29:00,H1,5,0,36.62,-121.89,4.69631295783444
26389,4,1989-09-20 16:44:00,C7,11,0,36.63,-122.13,4.82554895882217
26389,5,1989-09-20 19:31:00,H3,10,0,36.78,-122.01,4.72206330578679
26389,7,1989-09-20 21:34:00,C1,9,0,36.79,-121.84,4.6954915240078
PP8,23,1989-09-29 23:35:00,67-60,11,0,36.45,-122.78,3.734754158171
PP8,24,1989-09-30 04:00:00,67-55,11,0,36.6,-122.48,3.42602270089377
PP8,27,1989-09-30 12:27:00,27,11,0,36.71,-122.23,2.95087333946372
PP8,28,1989-09-30 18:46:00,67-50,11,0,36.75,-122.05,3.37219944277402
28589,1,1989-10-12 14:25:00,H1,5,0,36.62,-121.89,4.55466362415058
28589,4,1989-10-12 16:17:00,C7,11,0,36.63,-122.14,4.92879179151998
28589,5,1989-10-12 17:53:00,H3,11,0,36.78,-122.01,4.49293788023731
28589,11,1989-10-12 21:28:00,C1,11,0,36.79,-121.84,5.08886684877579
31289,1,1989-11-08 17:21:00,C1,11,0,36.8,-121.85,5.47887392915573
31289,2,1989-11-08 17:31:00,H1,1,0,36.63,-121.89,5.20649178895933
31289,5,1989-11-08 20:37:00,C7,11,0,36.63,-122.14,3.78412026787613
31289,6,1989-11-08 22:34:00,H3,11,0,36.77,-122.01,4.97319997497809
PP9,1,1989-11-16 00:05:00,1,11,0,36.33,-121.91,3.37896284968143
PP9,7,1989-11-16 05:55:00,7,11,0,36.33,-122.25,3.32744975995903
PP9,11,1989-11-16 20:30:00,11,11,0,36.33,-122.48,2.43669133286223
PP9,13,1989-11-17 07:06:00,13,11,0,36.33,-122.6,3.41115741543855
PP9,15,1989-11-17 23:57:00,15,11,0,36.33,-122.7,3.01386453597896
PP9,16,1989-11-18 03:15:00,16,11,0,36.33,-122.83,3.86176235662594
PP9,17,1989-11-18 13:34:00,17,11,0,36.33,-122.91,3.27385612389292
PP9,23,1989-11-18 16:41:00,67-60,11,0,36.45,-122.78,3.76189366582973
PP9,24,1989-11-21 05:02:00,67-55,11,0,36.6,-122.36,5.06413606654363
PP9,27,1989-11-21 14:46:00,27,11,0,36.71,-122.23,4.41424005350478
PP9,33,1989-11-21 23:18:00,33,11,0,36.78,-122.02,4.39236009756814
33389,1,1989-11-29 15:50:00,C1,1,0,36.79,-121.85,2.79265632668132
33389,1,1989-11-29 15:50:00,C1,1,0,36.79,-121.85,2.79265632668132
33389,1,1989-11-29 15:50:00,C1,1,0,36.79,-121.85,2.79265632668132
33389,2,1989-11-29 17:01:00,H1,4,0,36.62,-121.89,3.1996956965793
33389,3,1989-11-29 18:35:00,C7,12,0,36.63,-122.13,3.75029472798852
33389,4,1989-11-29 19:57:00,H3,12,0,36.77,-122.01,3.6528210954427
34589,1,1989-12-11 15:54:00,C1,11,0,36.79,-121.85,2.86735273019214
34589,2,1989-12-11 17:18:00,H1,6,0,36.62,-121.89,3.74510861827955
34589,5,1989-12-11 19:12:00,C7,11,0,36.63,-122.14,3.52112238832652
34589,6,1989-12-11 20:54:00,H3,11,0,36.77,-122.02,3.38007557863616
35689,1,1989-12-22 15:32:00,C1,11,0,36.79,-121.85,3.47958422684409
35689,2,1989-12-22 16:51:00,H1,5,0,36.62,-121.89,2.72791269588734
35689,5,1989-12-22 18:47:00,C7,11,0,36.63,-122.14,4.01243370091347
35689,6,1989-12-22 20:37:00,H3,11,0,36.77,-122.01,3.88232866000104
00290,1,1990-01-02 15:54:00,C1,11,0,36.79,-121.85,2.43118699311015
00290,2,1990-01-02 17:30:00,H1,6,0,36.62,-121.89,2.44954705292223
00290,4,1990-01-02 18:58:00,M6,1,0,36.64,-122.01,3.00954123939958
01590,1,1990-01-15 15:54:00,C1,11,0,36.79,-121.84,3.77897074371636
01590,2,1990-01-15 17:10:00,H1,6,0,36.62,-121.89,3.28363783353057
01590,3,1990-01-15 17:37:00,MOORING1,2,0,36.65,-121.92,3.19933754982788
01590,4,1990-01-15 18:19:00,M6,2,0,36.64,-122.01,3.46922468491588
PP10,24,1990-01-22 05:39:00,67-55,11,0,36.6,-122.46,3.11996407117584
PP10,33,1990-01-23 00:30:00,67-50,11,0,36.76,-122.03,2.32340563341338
PP10,30,1990-01-23 01:52:00,C1,11,0,36.78,-121.91,3.31493397941511
PP10,27,1990-01-23 14:02:00,27,11,0,36.71,-122.21,2.089547182254
03090,1,1990-01-30 16:16:00,M2,1,0,36.74,-121.92,3.05786512213031
03090,2,1990-01-30 16:55:00,M3,2,0,36.78,-121.92,3.25786558827772
03090,4,1990-01-30 18:31:00,M5,1,0,36.88,-121.92,3.70062112510345
03890,1,1990-02-07 15:44:00,C1,11,0,36.79,-121.84,3.9846876636481
03890,2,1990-02-07 17:00:00,H1,6,0,36.62,-121.89,3.61556410236903
03890,3,1990-02-07 17:27:00,MOORING1,2,0,36.65,-121.93,3.98086493485725
03890,6,1990-02-07 20:40:00,H3,11,0,36.77,-122.01,3.94254126956898
05290,1,1990-02-21 22:23:00,C7,11,0,36.64,-122.14,3.32730136653114
05390,1,1990-02-22 16:17:00,C1,11,0,36.79,-121.84,4.02250023634328
05390,3,1990-02-22 18:49:00,MOORING1,1,0,36.65,-121.93,3.95386159663884
05390,6,1990-02-22 20:39:00,H3,11,0,36.78,-122.01,3.67519923009966
06790,1,1990-03-08 16:23:00,C1,11,0,36.79,-121.84,4.44418765210049
06790,2,1990-03-08 17:42:00,H1,6,0,36.62,-121.89,4.97517164712269
08090,1,1990-03-21 15:54:00,C1,10,0,36.79,-121.84,5.07314825266638
08090,2,1990-03-21 17:16:00,H1,6,0,36.62,-121.89,5.42593660113225
PP11,23,1990-03-25 05:45:00,67-60,11,0,36.45,-122.78,4.02681802585443
PP11,24,1990-03-25 10:33:00,67-55,11,0,36.6,-122.48,3.85469789298888
PP11,27,1990-03-25 17:08:00,27,11,0,36.71,-122.23,3.09396001132575
PP11,33,1990-03-25 20:05:00,67-50,11,0,36.76,-122.03,5.75655778281863
PP11,29,1990-03-25 21:15:00,67-50,11,0,36.7,-122.03,5.23602512596553
09490,1,1990-04-04 14:44:00,C1,11,0,36.79,-121.84,5.56423462702779
09490,2,1990-04-04 16:03:00,H1,6,0,36.62,-121.89,5.75210534235806
10890,1,1990-04-18 14:51:00,C1,11,0,36.79,-121.84,4.58752240594006
10890,2,1990-04-18 16:12:00,H1,6,0,36.62,-121.89,4.56426201067104
10890,5,1990-04-18 18:22:00,C7,11,0,36.63,-122.13,4.3824796070664
10890,6,1990-04-18 20:05:00,H3,11,0,36.77,-122.01,5.05328508278256
12290,1,1990-05-02 14:44:00,C1,11,0,36.79,-121.84,5.57318253730552
12290,2,1990-05-02 16:07:00,H1,6,0,36.62,-121.89,5.06437396245156
12290,5,1990-05-02 18:08:00,C7,11,0,36.63,-122.14,3.74051596834482
12290,6,1990-05-02 19:40:00,H3,11,0,36.77,-122.01,5.02808481513893
13690,1,1990-05-16 13:52:00,C1,12,0,36.79,-121.84,3.48330435726784
13690,2,1990-05-16 15:03:00,H1,6,0,36.65,-121.88,4.17867809726903
13690,4,1990-05-16 16:56:00,C7,11,0,36.63,-122.13,4.02341699899687
13690,6,1990-05-16 19:40:00,H3,11,0,36.77,-122.01,3.20388624027694
PP12,1,1990-05-17 00:00:00,1,11,0,36.33,-122.03,3.49204957880531
PP12,23,1990-05-22 19:49:00,67-60,11,0,36.45,-122.78,4.15031134134734
PP12,24,1990-05-22 23:28:00,67-55,11,0,36.6,-122.48,4.36457138687543
PP12,27,1990-05-23 08:00:00,27,11,0,36.71,-122.23,2.68024821608651
PP12,33,1990-05-23 10:33:00,33,11,0,36.76,-122.03,4.00137583906743
15090,2,1990-05-30 15:45:00,H1,6,0,36.62,-121.89,5.84849391614312
15090,5,1990-05-30 17:45:00,C7,11,0,36.63,-122.13,4.83864253118277
15090,6,1990-05-30 20:42:00,H3,11,0,36.77,-122.01,5.46506688522031
16490,1,1990-06-13 14:53:00,C1,11,0,36.79,-121.84,5.0151509763722
16490,2,1990-06-13 16:28:00,H1,6,0,36.64,-121.88,4.62635577811604
16590,2,1990-06-14 16:45:00,H3,7,0,36.77,-122.01,4.1158270359558
PP13,1,1990-06-16 21:37:00,1,11,0,36.33,-121.93,3.02079550038525
PP13,7,1990-06-17 01:38:00,7,11,0,36.33,-122.25,4.16831714544925
PP13,13,1990-06-17 23:54:00,13,11,0,36.33,-122.58,4.67568875966598
PP13,24,1990-06-22 02:05:00,67-55,11,0,36.6,-122.48,4.60212530503952
PP13,27,1990-06-22 09:12:00,27,11,0,36.71,-122.23,3.83790843325264
17790,1,1990-06-26 15:23:00,C1,11,0,36.79,-121.84,4.34529518174003
17790,2,1990-06-26 16:43:00,H1,6,0,36.62,-121.89,4.9728560199704
17790,5,1990-06-26 18:50:00,C7,11,0,36.63,-122.14,3.63168496609391
17790,7,1990-06-26 23:00:00,H3,11,0,36.77,-122.01,4.60260680332826
17890,5,1990-06-27 17:33:00,H5,1,0,36.9,-122.01,3.86845071146594
19290,1,1990-07-11 14:55:00,C1,11,0,36.79,-121.84,2.6679229651813
19290,2,1990-07-11 16:38:00,H1,6,0,36.62,-121.89,4.58592710991392
19290,5,1990-07-11 18:45:00,C7,11,0,36.63,-122.14,3.82120921569396
19290,6,1990-07-11 20:29:00,H3,11,0,36.77,-122.01,4.62505806455224
20790,1,1990-07-26 14:46:00,C1,11,0,36.79,-121.84,4.55102262204599
20790,2,1990-07-26 16:17:00,H3,11,0,36.77,-122.01,5.1146664625635
20790,3,1990-07-26 19:38:00,C7,11,0,36.63,-122.13,4.45051421518952
20790,5,1990-07-26 21:35:00,H1,6,0,36.62,-121.89,5.56436929628914
22090,7,1990-08-08 22:42:00,C1,11,0,36.79,-121.84,4.51237375506801
22190,1,1990-08-09 15:50:00,H3,11,0,36.78,-122.01,6.65205338555121
22190,2,1990-08-09 17:34:00,C7,11,0,36.64,-122.13,4.96961145281742
22190,3,1990-08-09 18:43:00,Q5,3,0,36.63,-122.01,6.06977555625675
PP14,24,1990-08-19 02:15:00,67-55,11,0,36.6,-122.48,3.55895776722694
PP14,26,1990-08-19 07:08:00,26,11,0,36.61,-122.15,4.08817673019217
PP14,27,1990-08-19 13:20:00,27,11,0,36.71,-122.23,4.19057153376563
PP14,33,1990-08-19 16:53:00,67-50,11,0,36.76,-122.03,3.90143500991007
24890,1,1990-09-05 15:17:00,C1,11,0,36.79,-121.84,4.27313033382168
24890,2,1990-09-05 16:30:00,H1,6,0,36.62,-121.89,4.29758329381866
24890,5,1990-09-05 18:22:00,C7,12,0,36.63,-122.13,4.18698861530948
24890,6,1990-09-05 19:50:00,H3,11,0,36.77,-122.01,3.83236495543103
26290,5,1990-09-19 21:00:00,H5,2,0,36.9,-122.01,5.01089626670661
26290,7,1990-09-19 22:19:00,C1,11,0,36.79,-121.84,3.52443331580049
26390,1,1990-09-20 15:42:00,H3,11,0,36.77,-122.01,4.95265517333586
27690,1,1990-10-03 15:50:00,H3,11,0,36.77,-122.01,2.95798154744016
27690,4,1990-10-03 20:42:00,C7,11,0,36.62,-122.13,3.16333943601066
27690,5,1990-10-03 21:42:00,Q5,2,0,36.63,-122.01,3.17573815123145
27690,6,1990-10-03 22:26:00,H1,6,0,36.62,-121.89,3.40958421366002
27790,1,1990-10-04 14:41:00,C1,11,0,36.79,-121.84,1.31995555377246
27790,5,1990-10-04 18:56:00,H5,2,0,36.9,-122.01,4.79029472741434
PP15,33,1990-10-23 21:00:00,67-50,11,0,36.78,-122.03,5.00190498897561
PP15,24,1990-10-24 04:00:00,67-55,11,0,36.6,-122.45,3.46651597346548
31890,1,1990-11-14 17:28:00,H3,12,0,36.78,-122.01,3.88840909882522
31990,1,1990-11-15 15:45:00,C1,12,0,36.79,-121.84,4.52648890448657
31990,3,1990-11-15 19:57:00,C7,12,0,36.63,-122.13,3.20575467788663
31990,4,1990-11-15 21:01:00,Q5,1,0,36.63,-122.01,2.04852050076236
31990,5,1990-11-15 21:43:00,H1,8,0,36.62,-121.89,3.68861894518443
33190,3,1990-11-27 20:02:00,H3,2,0,36.77,-122.01,4.09293216525893
34690,1,1990-12-12 17:07:00,H3,11,0,36.77,-122.01,2.71023048921242
34690,2,1990-12-12 21:49:00,C7,11,0,36.63,-122.13,2.22040374171836
34690,4,1990-12-12 23:39:00,H1,7,0,36.62,-121.89,2.44950751177223
PP16,3,1990-12-13 04:34:00,3,11,0,36.33,-122.01,3.0715939142746
PP16,7,1990-12-13 08:26:00,7,11,0,36.33,-122.23,3.93215197162686
