cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,pennate,centric
21489,1,1989-08-02 14:37:00,H1,5,0,36.62,-121.89,3.45121425343552,5.65567213035687
21489,4,1989-08-02 16:53:00,C7,13,0,36.63,-122.13,0.367700241362706,2.32304515119399
21489,5,1989-08-02 18:40:00,H3,12,0,36.77,-122.01,1.38344079356593,2.77450064335323
21489,11,1989-08-02 22:24:00,C1,11,0,36.79,-121.84,3.51078598634086,5.08183284460253
PP7,24,1989-08-02 22:48:00,67-55,11,0,36.6,-122.48,1.29089242710628,2.41997418439791
PP7,27,1989-08-03 08:21:00,27,11,0,36.71,-122.25,1.22472615601101,1.19267896837383
PP7,25,1989-08-03 12:34:00,25,11,0,36.58,-122.25,1.76339377328537,3.05016974732498
22689,1,1989-08-14 14:58:00,H1,5,0,36.63,-121.89,2.22774074208772,0.66598973275754
22689,4,1989-08-14 17:05:00,C7,11,0,36.63,-122.14,-0.0566846437337899,NA
22689,5,1989-08-14 18:47:00,H3,11,0,36.78,-122.01,0.726492977832753,0.0204690718393403
22689,11,1989-08-14 22:38:00,C1,11,0,36.79,-121.84,0.331741779918185,0.674689887895168
24889,4,1989-09-05 17:04:00,C7,12,0,36.63,-122.14,-2.78100806565254,NA
24889,5,1989-09-05 18:30:00,H3,12,0,36.77,-122.01,NA,-1.71181953606641
24889,11,1989-09-05 22:04:00,C1,10,0,36.79,-121.84,0.590558929733601,NA
24889,11,1989-09-05 22:04:00,C1,10,0,36.79,-121.84,0.590558929733601,NA
26389,1,1989-09-20 14:29:00,H1,5,0,36.62,-121.89,4.22654896019521,3.26932887234717
26389,4,1989-09-20 16:44:00,C7,11,0,36.63,-122.13,1.90379028886213,4.25779438497094
26389,5,1989-09-20 19:31:00,H3,10,0,36.78,-122.01,1.8316914678194,4.04160153326651
26389,7,1989-09-20 21:34:00,C1,9,0,36.79,-121.84,3.89616651308978,1.71183708764838
PP8,23,1989-09-29 23:35:00,67-60,11,0,36.45,-122.78,2.47799960095095,-1.02414880828636
PP8,24,1989-09-30 04:00:00,67-55,11,0,36.6,-122.48,0.585194419045261,NA
PP8,27,1989-09-30 12:27:00,27,11,0,36.71,-122.23,NA,NA
PP8,28,1989-09-30 18:46:00,67-50,11,0,36.75,-122.05,-1.39668414851994,-3.17758993796266
28589,1,1989-10-12 14:25:00,H1,5,0,36.62,-121.89,3.38594014640205,3.10121638657335
28589,4,1989-10-12 16:17:00,C7,11,0,36.63,-122.14,2.32163851813974,-0.151459138609607
28589,5,1989-10-12 17:53:00,H3,11,0,36.78,-122.01,2.32163851813974,-0.151459138609607
28589,11,1989-10-12 21:28:00,C1,11,0,36.79,-121.84,4.73887416371895,3.61788177076256
31289,1,1989-11-08 17:21:00,C1,11,0,36.8,-121.85,5.16824026954037,3.86475639306402
31289,2,1989-11-08 17:31:00,H1,1,0,36.63,-121.89,4.15572566646099,4.63478955921071
31289,5,1989-11-08 20:37:00,C7,11,0,36.63,-122.14,1.42607020861912,2.61350066526823
31289,6,1989-11-08 22:34:00,H3,11,0,36.77,-122.01,4.71193773331244,3.22269675580541
PP9,1,1989-11-16 00:05:00,1,11,0,36.33,-121.91,0.494384607917447,-2.55816144753699
PP9,7,1989-11-16 05:55:00,7,11,0,36.33,-122.25,0.191435729583525,-1.74842415574159
PP9,11,1989-11-16 20:30:00,11,11,0,36.33,-122.48,NA,NA
PP9,13,1989-11-17 07:06:00,13,11,0,36.33,-122.6,NA,NA
PP9,15,1989-11-17 23:57:00,15,11,0,36.33,-122.7,NA,NA
PP9,16,1989-11-18 03:15:00,16,11,0,36.33,-122.83,NA,NA
PP9,17,1989-11-18 13:34:00,17,11,0,36.33,-122.91,NA,NA
PP9,23,1989-11-18 16:41:00,67-60,11,0,36.45,-122.78,0.00878133100733893,-1.91894986567254
PP9,24,1989-11-21 05:02:00,67-55,11,0,36.6,-122.36,0.292247136672154,-1.47851930516241
PP9,27,1989-11-21 14:46:00,27,11,0,36.71,-122.23,0.97480527020592,-1.49449000306395
PP9,33,1989-11-21 23:18:00,33,11,0,36.78,-122.02,0.513646042642739,-1.30359058185548
33389,1,1989-11-29 15:50:00,C1,1,0,36.79,-121.85,0.68416142935022,-0.872479609251887
33389,1,1989-11-29 15:50:00,C1,1,0,36.79,-121.85,0.68416142935022,-0.872479609251887
33389,1,1989-11-29 15:50:00,C1,1,0,36.79,-121.85,0.68416142935022,-0.872479609251887
33389,2,1989-11-29 17:01:00,H1,4,0,36.62,-121.89,1.28807329880485,-0.190025556539073
33389,3,1989-11-29 18:35:00,C7,12,0,36.63,-122.13,0.0534412359086314,-2.2150138727459
33389,4,1989-11-29 19:57:00,H3,12,0,36.77,-122.01,1.03017426322562,-0.173125569792523
34589,1,1989-12-11 15:54:00,C1,11,0,36.79,-121.85,1.64861516310444,-0.377784768101719
34589,2,1989-12-11 17:18:00,H1,6,0,36.62,-121.89,3.03080048275339,0.62278801898077
34589,5,1989-12-11 19:12:00,C7,11,0,36.63,-122.14,1.61897191901258,-0.388439863583034
