yr,a_abun,adinos,a_std,a_cnt,h_abun,hdinos,h_std,h_cnt
1989,241.228337,5.36062971111111,10.4085323996171,45,95.669198,2.12598217777778,3.99471160276398,45
1990,487.962049,4.51816712037037,6.93756042655958,108,603.388569,5.58693119444444,6.7508578261647,108
1991,614.194192,7.87428451282051,22.0713242344959,78,644.814786999999,8.26685624358974,15.8995905858621,78
1992,829.916827,10.6399593205128,17.7822781188634,78,417.295579,5.34994332051282,6.2948404255426,78
1993,294.604053,5.16849215789474,5.60397455988219,57,317.500218,5.5701792631579,7.82463010250355,57
1994,468.657017,9.97142589361702,17.0003661899648,47,269.279848,5.72935846808511,10.7072588176162,47
1995,2040.479962,41.6424482040816,71.638225793131,49,387.52538,7.9086812244898,11.9456073970521,49
1996,125.692281,3.49145225,3.72444339119312,36,226.941709,6.30393636111111,8.8832518458163,36
1997,414.477364,10.6276247179487,24.5315574253958,39,214.12777,5.49045564102564,6.68811052508246,39
1998,286.925984,6.10480817021277,14.4246134018709,47,151.047904,3.21378519148936,4.79666187942078,47
1999,628.326978,13.368659106383,46.4003686130413,47,331.287185,7.0486635106383,9.04990520826992,47
2000,104.502891,5.80571616666667,11.4374153922394,18,151.103664,8.394648,16.4548841407407,18
2001,962.280371,22.9114374047619,101.634337071591,42,387.461878,9.22528280952381,13.3850531955959,42
2002,1038.044304,28.834564,96.3788672218666,36,477.094919,13.2526366388889,40.3835399967197,36
2003,155.208022,3.60948888372093,4.14963268132627,43,301.585426,7.01361455813954,8.05222331401294,43
2004,2799.713682,68.2856995609756,98.4567147924304,41,390.909342,9.53437419512195,11.1102866396113,41
2005,5216.842828,84.1426262580645,102.156354567077,62,2266.366439,36.5542974032258,87.0094173773741,62
2006,4830.300608,86.255368,160.074063480589,56,1480.161719,26.4314592678572,33.3889129179136,56
2007,1479.877375,30.2015790816326,70.9792142590368,49,1228.096919,25.0632024285714,35.0439759353121,49
2008,816.011398,13.3772360327869,29.3409587079903,61,928.756972,15.2255241311475,22.0665026418676,61
2009,527.715975,10.9940828125,18.4635011218685,48,463.79538,9.66240375,11.3435520289729,48
2010,417.532719,9.07679823913044,16.7017499854477,46,311.774835,6.77771380434783,6.0191680101062,46
2011,1511.152024,29.0606158461539,54.4301121244591,52,957.514898,18.4137480384615,25.5878616094518,52
2012,823.023241,24.2065659117647,72.6049292363845,34,367.043431,10.7953950294118,14.4455529014567,34
2013,592.260216,21.1521505714286,60.6320101478891,28,293.394723,10.4783829642857,14.0506361945026,28
2014,347.424073,12.4080026071429,15.4099720974752,28,619.839142,22.1371122142857,30.3958117011466,28
2015,1751.899448,70.07597792,173.923267698341,25,1382.31266,55.2925064,88.8951214405365,25
2016,30969.516967,910.868146088236,3106.67956584265,34,1081.260811,31.8017885588235,56.647839356309,34
2017,2986.105937,124.421080708333,495.237625442563,24,467.071743,19.461322625,29.7562102071046,24
