cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,adinos,hdinos
21489,1,1989-08-02 14:37:00,H1,5,0,36.62,-121.89,3.9853988496416,-0.724109607421794
21489,4,1989-08-02 16:53:00,C7,13,0,36.63,-122.13,-1.16818104022788,-0.465686561208029
21489,5,1989-08-02 18:40:00,H3,12,0,36.77,-122.01,3.67639874304731,1.53716910950979
21489,11,1989-08-02 22:24:00,C1,11,0,36.79,-121.84,3.23487381192616,-0.549088395891323
PP7,24,1989-08-02 22:48:00,67-55,11,0,36.6,-122.48,1.23121766934254,3.27612693218975
PP7,27,1989-08-03 08:21:00,27,11,0,36.71,-122.25,-2.84990182534245,0.545775885353155
PP7,25,1989-08-03 12:34:00,25,11,0,36.58,-122.25,0.591337021587138,2.02955462629861
22689,1,1989-08-14 14:58:00,H1,5,0,36.63,-121.89,NA,-1.2289658787171
22689,4,1989-08-14 17:05:00,C7,11,0,36.63,-122.14,-0.942986411765025,-0.533580905860222
22689,5,1989-08-14 18:47:00,H3,11,0,36.78,-122.01,-0.818696798185667,0.639516419582573
22689,11,1989-08-14 22:38:00,C1,11,0,36.79,-121.84,2.78052960977077,1.46531323716434
24889,4,1989-09-05 17:04:00,C7,12,0,36.63,-122.14,0.93069686346069,1.41513664458723
24889,5,1989-09-05 18:30:00,H3,12,0,36.77,-122.01,-2.93836943616552,0.841623649601343
24889,11,1989-09-05 22:04:00,C1,10,0,36.79,-121.84,0.101124154939837,0.252543117577408
24889,11,1989-09-05 22:04:00,C1,10,0,36.79,-121.84,0.101124154939837,0.252543117577408
26389,1,1989-09-20 14:29:00,H1,5,0,36.62,-121.89,-0.831278852548316,0.139736724665891
26389,4,1989-09-20 16:44:00,C7,11,0,36.63,-122.13,-2.28148918469931,-0.39364721530424
26389,5,1989-09-20 19:31:00,H3,10,0,36.78,-122.01,NA,-0.507233748945429
26389,7,1989-09-20 21:34:00,C1,9,0,36.79,-121.84,-0.0600515360614501,-0.505612568713234
PP8,23,1989-09-29 23:35:00,67-60,11,0,36.45,-122.78,2.60634824400912,0.803791910135111
PP8,24,1989-09-30 04:00:00,67-55,11,0,36.6,-122.48,0.630233472032486,0.398018114623093
