svg,svg_id,label,status_color,status_text
pelagic.svg,whales,Whales,,
pelagic.svg,forage-fish,Forage Fish,,
kelp-forest.svg,otters,Sea Otters,,
pelagic.svg,pinnipeds,Pinnipeds,purple,status here
pelagic.svg,leatherbacks,Leatherback Turtles,,
pelagic.svg,salmon,Salmon,,
pelagic.svg,phytoplankton,Phytoplankton,,
pelagic.svg,seabirds,Seabirds,,
pelagic.svg,squid,Squid,,
pelagic.svg,midwater-larval-fish,Midwater Larval Fish,,
pelagic.svg,forage-inverts,Forage Invertebrates,,
coral-reef.svg,algal-farmers,Algal farmer fish,,
coral-reef.svg,benthic-invertivores,Benthic invertivore fish,,
coral-reef.svg,browsing-herbivores,Browsing herbivore fish,,
coral-reef.svg,cleaners,Cleaner fish,,
coral-reef.svg,corallivores,Corallivore fish,,
coral-reef.svg,exploited,Exploited fish,,
coral-reef.svg,forage-fish,Forage fish,,
coral-reef.svg,higher-carnivores,Higher carnivore fish,,
coral-reef.svg,invasives,Invasive fish,,
coral-reef.svg,omnivores,Omnivore fish,,
coral-reef.svg,ornamentals,Ornamental fish,,
coral-reef.svg,planktivores,Planktivore fish,,
coral-reef.svg,scraping-herbivores,Scraping herbivore fish,,
